Authors,Year,Title,Journal/Book,Volume,Pages,Notes
"Li, Z",1999,Visual segmentation by contextual influences via intra-cortical interactions in the primary visual cortex,Network: Computation in Neural Systems,10,187-212,
"Li, Z; Atick, JJ",1994,Efficient stereo coding in the multiscale representation,Network: Computation in Neural Systems,5,157-174,
"Li, Z; Atick, JJ",1994,Toward a theory of the striate cortex,Neural Computation,6,127-146,
"Li, Z; Dayan, P",1999,Computational differences between asymmetrical and symmetrical networks,Network: Computation in Neural Systems,10,59-78,
"Li, Z; Hopfield, JJ",1989,Modeling the olfactory bulb and its neural oscillatory processings,Biological Cybernetics,61,379-392,
"Lindgren, BW",1993,Statistical Theory,,,,4th ed. New York: Chapman & Hall
"Linsker, R",1986,From basic network principles to neural architecture,Proceedings of the National Academy of Sciences USA,83,7508-7512; 8390-8394; 8779-8783,
"Linsker, R",1988,Self-organization in a perceptual network,Computer,21,105-117,
"Lisman, JE",1997,Bursts as a unit of neural information: making unreliable synapses reliable,Trends in Neuroscience,20,38-43,
"Liu, Z; Golowasch, J; Marder, E; Abbott, LF",1998,A model neuron with activity-dependent conductances regulated by multiple calcium sensors,Journal of Neuroscience,18,2309-2320,
"MacKay, DJC",1996,Maximum Likelihood and Covariant Algorithms for Independent Components Analysis,,,,Unpublished manuscript
"MacKay, DJC; Miller, KD",1990,Analysis of Linsker's application of Hebbian rules to linear networks,Network: Computation in Neural Systems,1,257-299,
"MacKay, DM",1956,The epistemological problem for automata,,,235-251,"In CE Shannon & J McCarthy, eds., Automata Studies. Princeton, NJ: Princeton University Press"
"Mackintosh, NJ",1983,Conditioning and Associative Learning,,,,Oxford: Oxford University Press
"Magleby, KL",1987,Short-term changes in synaptic efficacy,,,21-56,In Synaptic Function. New York: Wiley
"Mangel, M; Clark, CW",1988,Dynamic Modeling in Behavioral Ecology,,,,"Princeton, NJ: Princeton University Press"
"Mallat, SG",1998,A Wavelet Tour of Signal Processing,,,,"San Diego, CA: Academic Press"
"Marder, E; Calabrese, RL",1996,Principles of rhythmic motor pattern generation,Physiological Review,76,687-717,
"Markram, H; Lubke, J; Frotscher, M; Sakmann, B",1997,Regulation of synaptic efficacy by coincidence of postsynaptic APs and EPSPs,Science,275,213-215,
"Markram, H; Tsodyks, M",1996,Redistribution of synaptic efficacy between neocortical pyramidal neurons,Nature,382,807-810,
"Markram, H; Wang, Y; Tsodyks, MV",1998,Differential signalling via the same axon of neocortical pyramidal neurons,Proceedings of the National Academy of Sciences USA,95,5323-5328,
"Marmarelis, PZ; Marmarelis, VZ",1978,Analysis of Physiological Systems: The White-Noise Approach,,,,New York: Plenum Press
"Marom, S; Abbott, LF",1994,Modeling state-dependent inactivation of membrane currents,Biophysical Journal,67,515-520,
"Marr, D",1970,A theory for cerebral neocortex,Proceedings of the Royal Society of London,B176,161-234,
"Mascagni, M; Sherman, A",1998,Numerical methods for neuronal modeling,,,569-606,"In Methods in Neuronal Modeling. Cambridge, MA: MIT Press"
"Mathews, J; Walker, RL",1970,Mathematical Methods of Physics,,,,New York: Benjamin
"Mauk, MD; Donegan, NH",1997,A model of Pavlovian conditioning based on the synaptic organization of the cerebellum,Learning and Memory,4,130-158,
"McCormick, DA",1990,Membrane properties and neurotransmitter actions,,,,"In GM Shepherd, ed., The Synaptic Organization of the Brain. New York: Oxford University Press"
"Mehta, MR; Barnes, CA; McNaughton, BL",1997,"Experience-dependent, asymmetric expansion of hippocampal place fields",Proceedings of the National Academy of Sciences USA,94,8918-8921,
"Mehta, MR; Quirk, MC; Wilson, M",2000,Experience dependent asymmetric shape of hippocampal receptive fields,Neuron,25,707-715,
"Miller, KD",1994,A model for the development of simple cell receptive fields and the ordered arrangement of orientation columns,Journal of Neuroscience,14,409-441,
"Miller, KD",1996,Receptive fields and maps in the visual cortex: Models of ocular dominance and orientation columns,,,55-78,In Models of Neural Networks Volume 3. New York: Springer-Verlag
"Miller, KD",1996,Synaptic economics: competition and cooperation in synaptic plasticity,Neuron,17,371-374,
"Miller, KD; Keller, JB; Stryker, MP",1989,Ocular dominance column development: Analysis and simulation,Science,245,605-615,
"Miller, KD; MacKay, DJC",1994,The role of constraints in Hebbian learning,Neural Computation,6,100-126,
"Minai, AA; Levy, WB",1993,Sequence learning in a single trial,,,505-508,In INNS World Congress of Neural Networks II
"Minsky, M; Papert, S",1969,Perceptrons,,,,"Cambridge, MA: MIT Press"
"Mirenowicz, J; Schultz, W",1994,Importance of unpredictability for reward responses in primate dopamine neurons,Journal of Neurophysiology,72,1024-1027,
"Montague, PR; Dayan, P; Person, C; Sejnowski, TJ",1995,Bee foraging in uncertain environments using predictive Hebbian learning,Nature,377,725-728,
"Montague, PR; Dayan, P; Sejnowski, TJ",1996,A framework for mesencephalic dopamine systems based on predictive Hebbian learning,Journal of Neuroscience,16,1936-1947,
"Movshon, JA; Thompson, ID; Tolhurst, DJ",1978,Spatial summation in the receptive fields of simple cells in the cat's striate cortex,Journal of Neurophysiology,283,53-77,
"Movshon, JA; Thompson, ID; Tolhurst, DJ",1978,Spatial and temporal contrast sensitivity of neurones in areas 17 and 18 of the cat's visual cortex,Journal of Neurophysiology,283,101-120,
"Mumford, D",1994,Neuronal architectures for pattern-theoretic problems,,,125-152,"In C Koch & J Davis, eds., Large-Scale Theories of the Cortex. Cambridge, MA: MIT Press"
"Murray, JD",1993,Mathematical Biology,,,,New York: Springer-Verlag
"Narendra, KS; Thatachar, MAL",1989,Learning Automata: An Introduction,,,,"Englewood Cliffs, NJ: Prentice-Hall"
"Neal, RM",1993,Probabilistic Inference Using Markov Chain Monte Carlo Methods,,,,"University of Toronto, technical report CRG-TR-93-1"
"Neal, RM; Hinton, GE",1998,"A view of the EM algorithm that justifies incremental, sparse, and other variants",,,355-368,In Learning in Graphical Models. Dordrecht: Kluwer
"Neisser, U",1967,Cognitive Psychology,,,,New York: Appleton-Century-Crofts
"Newsome, WT; Britten, KH; Movshon, JA",1989,Neural correlates of a perceptual decision,Nature,341,52-54,
"Nicholls, JG; Martin, R; Wallace, BG",1992,From Neuron to Brain,,,,"Sunderland, MA: Sinauer Associates"
"Nowlan, SJ",1991,Soft Competitive Adaptation: Neural Network Learning Algorithms Based on Fitting Statistical Mixtures,,,,"Ph.D. dissertation, Carnegie-Mellon University"
"Obermayer, K; Blasdel, GG",1993,Geometry of orientation and ocular dominance columns in monkey striate cortex,Journal of Neuroscience,13,4114-4129,
"Obermayer, K; Blasdel, GG; Schulten, K",1992,Statistical-mechanical analysis of self-organization and pattern formation during the development of visual maps,Physical Review A,45,7568-7589,
"Oja, E",1982,A simplified neuron model as a principal component analyzer,Journal of Mathematical Biology,16,267-273,
"O'Keefe, J; Recce, ML",1993,Phase relationship between hippocampal place units and the EEG theta rhythm,Hippocampus,3,317-330,
"O'Keefe, LP; Bair, W; Movshon, JA",1997,Response variability of MT neurons in macaque monkey,Society for Neuroscience Abstracts,23,1125,
"Olshausen, B",1996,"Learning Linear, Sparse, Factorial Codes",,,,"MIT AI Lab, AI-memo 1580"
"Olshausen, BA; Field, DJ",1996,Emergence of simple-cell receptive field properties by learning a sparse code for natural images,Nature,381,607-609,
"Olshausen, BA; Field, DJ",1997,Sparse coding with an overcomplete basis set: A strategy employed by V1?,Vision Research,37,3311-3325,
"Oppenheim, AV; Willsky, AS; Nawab, H",1997,Signals and Systems,,,,"2nd ed. Upper Saddle River, NJ: Prentice-Hall"
"Oram, MW; Foldiak, P; Perrett, DI; Sengpiel, F",1998,The ideal homunculus: Decoding neural population signals,Trends in Neuroscience,21,259-265,
"Orban, GA",1984,Neuronal Operations in the Visual Cortex,,,,Berlin: Springer-Verlag
"O'Reilly, RC",1996,Biologically plausible error-driven learning using local activation differences: The generalised recirculation algorithm,Neural Computation,8,895-938,
"Paradiso, MA",1988,A theory for the use of visual orientation information which exploits the columnar structure of striate cortex,Biological Cybernetics,58,35-49,
"Parker, AJ; Newsome, WT",1998,Sense and the single neuron: Probing the physiology of perception,Annual Review of Neuroscience,21,227-277,
"Patlak, J",1991,Molecular kinetics of voltage-dependent Na+ channels,Physiological Review,71,1047-1080,
"Pearl, J",1988,Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference,,,,"San Mateo, CA: Morgan Kaufmann"
"Pearlmutter, BA; Parra, LC",1996,A context-sensitive generalization of ICA,,,151-157,In Proceedings of ICONIP 1996
"Pece, AEC",1992,Redundancy reduction of a Gabor representation,,,865-868,In Artificial Neural Networks 2. Amsterdam: Elsevier
"Percival, DB; Waldron, AT",1993,Spectral Analysis for Physical Applications,,,,Cambridge: Cambridge University Press
"Piepenbrock, C; Obermayer, K",1999,The role of lateral cortical competition in ocular dominance development,,,,In Advances in Neural Information Processing Systems 11
"Plumbley, MD",1991,On Information Theory and Unsupervised Neural Networks,,,,"Cambridge University Engineering Department, technical report CUED/F-INFENG/TR.78"
"Poggio, GF; Talbot, WH",1981,Mechanisms of static and dynamic stereopsis in foveal cortex of the rhesus monkey,Journal of Physiology,315,469-492,
"Poggio, T",1990,A theory of how the brain might work,Cold Spring Harbor Symposium on Quantitative Biology,55,899-910,
"Pollen, D; Ronner, S",1982,Spatial computations performed by simple and complex cells in the visual cortex of the cat,Vision Research,22,101-118,
"Poor, HV",1994,An Introduction to Signal Detection and Estimation,,,,2nd ed. New York: Springer-Verlag
"Pouget, A; Sejnowski, TJ",1995,Spatial representations in the parietal cortex may use basis functions,,,157-164,In Advances in Neural Information Processing Systems 7
"Pouget, A; Sejnowski, TJ",1997,Spatial transformations in the parietal cortex using basis functions,Journal of Cognitive Neuroscience,9,222-237,
"Pouget, A; Zhang, KC; Deneve, S; Latham, PE",1998,Statistically efficient estimation using population coding,Neural Computation,10,373-401,
"Press, WH; Teukolsky, SA; Vetterling, WT; Flannery, BP",1992,Numerical Recipes in C,,,,Cambridge: Cambridge University Press
"Price, DJ; Willshaw, DJ",2000,Mechanisms of Cortical Development,,,,Oxford: Oxford University Press
"Purves, D; Augustine, GJ; Fitzpatrick, D; Katz, LC; LaMantia, A-S; McNamara, JO; Williams, SM",2000,Neuroscience,,,,Sunderland MA: Sinauer Associates
"Rall, W",1959,Branching dendritic trees and motoneuron membrane resistivity,Experimental Neurology,2,503-532,
"Rall, W",1977,Core conductor theory and cable properties of neurons,,,39-97,"In Handbook of Physiology vol. 1. Bethesda, MD: American Physiology Society"
"Rao, RPN; Ballard, DH",1997,Dynamic model of visual recognition predicts neural response properties in the visual cortex,Neural Computation,9,721-763,
"Raymond, JL; Lisberger, SG; Mauk, MD",1996,The cerebellum: A neuronal learning machine?,Science,272,1126-1131,
"Real, LA",1991,Animal choice behavior and the evolution of cognitive architecture,Science,253,980-986,
"Reichardt, W",1961,Autocorrelation: A principle for the evaluation of sensory information by the central nervous system,,,,"In WA Rosenblith, ed., Sensory Communication. New York: Wiley"
"Rescorla, RA; Wagner, AR",1972,A theory of Pavlovian conditioning,,,64-69,In Classical Conditioning II. New York: Appleton-Century-Crofts
"Rieke, F; Bodnar, DA; Bialek, W",1995,Naturalistic stimuli increase the rate and efficiency of information transmission by primary auditory afferents,Proceedings of the Royal Society of London,B262,259-265,
"Rieke, FM; Warland, D; de Ruyter van Steveninck, R; Bialek, W",1997,Spikes: Exploring the Neural Code,,,,"Cambridge, MA: MIT Press"
"Rinzel, J; Ermentrout, B",1998,Analysis of neural excitability and oscillations,,,251-292,"In Methods in Neuronal Modeling. Cambridge, MA: MIT Press"
"Rissanen, J",1989,Stochastic Complexity in Statistical Inquiry,,,,Singapore: World Scientific Press
"Robinson, DA",1989,Integrating with neurons,Annual Review of Neuroscience,12,33-45,
"Rodieck, R",1965,Quantitative analysis of cat retinal ganglion cell responses to visual stimuli,Vision Research,5,583-601,
"Rolls, ET; Treves, A",1998,Neural Networks and Brain Function,,,,New York: Oxford University Press
"Rosenblatt, F",1958,The perceptron: A probabilistic model for information storage and organization in the brain,Psychological Review,65,386-408,
"Roth, Z; Baram, Y",1996,Multidimensional density shaping by sigmoids,IEEE Transactions on Neural Networks,7,1291-1298,
"Rovamo, J; Virsu, V",1984,Isotropy of cortical magnification and topography of striate cortex,Vision Research,24,283-286,
"Roweis, S",1998,EM Algorithms for PCA and SPCA,,,626-632,In Advances in Neural Information Processing Systems 10
"Roweis, S; Ghahramani, Z",1999,A unifying review of linear Gaussian models,Neural Computation,11,305-345,
"Rubin, DB; Thayer, DT",1982,EM algorithms for ML factor analysis,Psychometrika,47,69-76,
"de Ruyter van Steveninck, R; Bialek, W",1988,Real-time performance of a movement-sensitive neuron in the blowfly visual system,Proceedings of the Royal Society of London,B234,379-414,
"Sakmann, B; Neher, E",1983,Single Channel Recording,,,,New York: Plenum
"Salinas, E; Abbott, LF",1994,Vector reconstruction from firing rates,Journal of Computational Neuroscience,1,89-107,
"Salinas, E; Abbott, LF",1995,Transfer of coded information from sensory to motor networks,Journal of Neuroscience,15,6461-6474,
"Salinas, E; Abbott, LF",1996,A model of multiplicative neural responses in parietal cortex,Proceedings of the National Academy of Sciences USA,93,11956-11961,
"Salinas, E; Abbott, LF",2000,Do simple cells in primary visual cortex form a tight frame?,Neural Computation,12,313-336,
"Salzman, CA; Shadlen, MN; Newsome, WT",1992,Microstimulation in visual area MT: Effects on directional discrimination performance,Journal of Neuroscience,12,2331-2356,
"Samsonovich, A; McNaughton, BL",1997,Path integration and cognitive mapping in a continuous attractor neural network model,Journal of Neuroscience,17,5900-5920,
"Sanger, TD",1994,Theoretical considerations for the analysis of population coding in motor cortex,Neural Computation,6,29-37,
"Sanger, TD",1996,Probability density estimation for the interpretation of neural population codes,Journal of Neurophysiology,76,2790-2793,
"Saul, AB; Humphrey, AL",1990,Spatial and temporal properties of lagged and nonlagged cells in the cat lateral geniculate nucleus,Journal of Neurophysiology,68,1190-1208,
"Saul, LK; Jordan, ML",2000,Attractor dynamics in feedforward neural networks,Neural Computation,12,1313-1335,
"Schultz, W",1998,Predictive reward signal of dopamine neurons,Journal of Neurophysiology,80,1-27,
"Schultz, W; Romo, R; Ljungberg, T; Mirenowicz, J; Hollerman, JR; Dickinson, A",1995,Reward-related signals carried by dopamine neurons,,,233-248,"In Models of Information Processing in the Basal Ganglia. Cambridge, MA: MIT Press"
"Schwartz, EL",1977,Spatial mapping in the primate sensory projection,Biological Cybernetics,25,181-194,
"Sclar, G; Freeman, R",1982,Orientation selectivity in cat's striate cortex is invariant with stimulus contrast,Experimental Brain Research,46,457-461,
"Scott, DW",1992,"Multivariate Density Estimation: Theory, Practice, and Visualization",,,,New York: Wiley
"Sejnowski, TJ",1977,Storing covariance with nonlinearly interacting neurons,Journal of Mathematical Biology,4,303-321,
"Sejnowski, TJ",1999,The book of Hebb,Neuron,24,773-776,
"Seung, HS",1996,How the brain keeps the eyes still,Proceedings of the National Academy of Sciences USA,93,13339-13344,
"Seung, HS; Lee, DD; Reis, BY; Tank, DW",2000,Stability of the memory for eye position in a recurrent network of conductance-based model neurons,Neuron,26,259-271,
"Seung, HS; Sompolinsky, H",1993,Simple models for reading neuronal population codes,Proceedings of the National Academy of Sciences USA,90,10749-10753,
"Shadlen, MN; Britten, KH; Newsome, WT; Movshon, JA",1996,A computational analysis of the relationship between neuronal and behavioral responses to visual motion,Journal of Neuroscience,16,1486-1510,
"Shadlen, MN; Newsome, WT",1998,"The variable discharge of cortical neurons: Implications for connectivity, computation, and information coding",Journal of Neuroscience,18,3870-3896,
"Shanks, DR",1995,The Psychology of Associative Learning,,,,Cambridge: Cambridge University Press
"Shannon, CE; Weaver, W",1949,The Mathematical Theory of Communications,,,,"Urbana, IL: University of Illinois Press"
"Shepherd, GM",1997,Neurobiology,,,,Oxford: Oxford University Press
"Siebert, WMcC",1986,"Circuits, Signals, and Systems",,,,"Cambridge, MA: MIT Press; New York: McGraw-Hill"
"Simoncelli, EP",1997,"Statistical models for images: Compression, restoration and synthesis",,,673-678,In Proceedings of the 31st Asilomar Conference
"Simoncelli, EP; Adelson, EH",1990,Subband image coding,,,143-192,"In JW Woods, ed., Subband Transforms. Norwell, MA: Kluwer"
"Simoncelli, EP; Freeman, WT",1995,The steerable pyramid: A flexible architecture for derivative computation,,,444-447,In Proceedings of ICIP
"Simoncelli, EP; Freeman, WT; Adelson, EH; Heeger, DJ",1992,Shiftable multiscale transforms,IEEE Transactions on Information Theory,38,587-607,
"Simoncelli, EP; Schwartz, O",1999,Modeling non-specific suppression in V1 neurons with a statistically-derived normalization model,,,153-159,In Advances in Neural Information Processing Systems 11
"Snippe, HP",1996,Parameter extraction from population codes: A critical assessment,Neural Computation,8,511-529,
"Snippe, HP; Koenderink, JJ",1992,Discrimination thresholds for channel-coded systems,Biological Cybernetics,66,543-551,
"Snippe, HP; Koenderink, JJ",1992,Information in channel-coded systems: Correlated receivers,Biological Cybernetics,67,183-190,
"Softky, WR; Koch, C",1992,Cortical cells should spike regularly but do not,Neural Computation,4,643-646,
"Solomon, RL; Corbit, JD",1974,An opponent-process theory of motivation. I. Temporal dynamics of affect,Psychological Review,81,119-145,
"Somers, DC; Nelson, SB; Sur, M",1995,An emergent model of orientation selectivity in cat visual cortical simple cells,Journal of Neuroscience,15,5448-5465,
"Sompolinsky, H; Shapley, R",1997,New perspectives on the mechanisms for orientation selectivity,Current Opinion in Neurobiology,7,514-522,
"Song, S; Miller, KD; Abbott, LF",2000,Competitive Hebbian learning through spike-timing dependent synaptic plasticity,Nature Neuroscience,3,919-926,
"Stemmler, M; Koch, C",1999,How voltage-dependent conductances can adapt to maximize the information encoded by neuronal firing rate,Nature Neuroscience,2,521-527,
"Stevens, CM; Zador, AM",1998,Novel integrate-and-fire-like model of repetitive firing in cortical neurons,,,,In Proceedings of the 5th Joint Symposium on Neural Computation
"Strang, G",1976,Linear Algebra and Its Applications,,,,New York: Academic Press
"Strong, SP; Koberle, R; de Ruyter van Steveninck, RR; Bialek, W",1998,Entropy and information in neural spike trains,Physical Review Letters,80,197-200,
"Stuart, GJ; Sakmann, B",1994,Active propagation of somatic action potentials into neocortical pyramidal cell dendrites,Nature,367,69-72,
"Stuart, GJ; Spruston, N",1998,Determinants of voltage attenuation in neocortical pyramidal neuron dendrites,Journal of Neuroscience,18,3501-3510,
"Sutton, RS",1988,Learning to predict by the methods of temporal difference,Machine Learning,3,9-44,
"Sutton, RS; Barto, AG",1990,Time-derivative models of Pavlovian conditioning,,,497-537,"In Learning and Computational Neuroscience. Cambridge, MA: MIT Press"
"Sutton, RS; Barto, AG",1998,Reinforcement Learning,,,,"Cambridge, MA: MIT Press"
"Swindale, NV",1996,The development of topography in the visual cortex: A review of models,Network: Computation in Neural Systems,7,161-247,
"Theunissen, FE; Miller, JP",1991,Representation of sensory information in the cricket cercal sensory system. II.,Journal of Neurophysiology,66,1690-1703,
"Tipping, ME; Bishop, CM",1999,Mixtures of probabilistic principal component analyzers,Neural Computation,11,443-482,
"Titterington, DM; Smith, AFM; Makov, UE",1985,Statistical Analysis of Finite Mixture Distributions,,,,New York: Wiley
"Tootell, RB; Silverman, MS; Switkes, E; De Valois, RL",1982,Deoxyglucose analysis of retinotopic organization in primate striate cortex,Science,218,902-904,
"Touretzky, DS; Redish, AD; Wan, HS",1993,Neural representation of space using sinusoidal arrays,Neural Computation,5,869-884,
"Troyer, TW; Miller, KD",1997,Physiological gain leads to high ISI variability in a simple model of a cortical regular spiking cell,Neural Computation,9,971-983,
"Tsai, KY; Carnevale, NT; Claiborne, BJ; Brown, TH",1994,Efficient mapping from neuroanatomical to electrotonic space,Network: Computation in Neural Systems,5,21-46,
"Tsodyks, MV; Markram, H",1997,The neural code between neocortical pyramidal neurons depends on neurotransmitter release probability,Proceedings of the National Academy of Sciences USA,94,719-723,
"Tuckwell, HC",1988,Introduction to Theoretical Neurobiology,,,,"Cambridge, UK: Cambridge University Press"
"Turing, AM",1952,The chemical basis of morphogenesis,Philosophical Transactions of the Royal Society of London,B237,37-72,
"Turrigiano, G; LeMasson, G; Marder, E",1995,Selective regulation of current densities underlies spontaneous changes in the activity of cultured neurons,Journal of Neuroscience,15,3640-3652,
"Uttley, AM",1979,Information Transmission in the Nervous System,,,,London: Academic Press
"Van Essen, DC; Newsome, WT; Maunsell, JHR",1984,The visual field representation in striate cortex of the macaque monkey,Vision Research,24,429-448,
"Van Santen, JP; Sperling, G",1984,Temporal covariance model of human motion perception,Journal of the Optical Society of America,A1,451-473,
"Varela, J; Sen, K; Gibson, J; Fost, J; Abbott, LF; Nelson, SB",1997,A quantitative description of short-term plasticity at excitatory synapses in layer 2/3 of rat primary visual cortex,Journal of Neuroscience,17,7926-7940,
"Venkatesh, SS",1986,Epsilon capacity of a neural network,,,440-445,In Proceedings of Neural Networks for Computing
"Vogels, R",1990,Population coding of stimulus orientation by cortical cells,Journal of Neuroscience,10,3543-3558,
"van Vreeswijk, C; Abbott, LF; Ermentrout, GB",1994,When inhibition not excitation synchronizes neuronal firing,Journal of Computational Neuroscience,1,313-321,
"Wallis, G; Baddeley, R",1997,"Optimal, unsupervised learning in invariant object recognition",Neural Computation,9,883-894,
"Wandell, BA",1995,Foundations of Vision,,,,"Sunderland, MA: Sinauer Associates"
"Wang, X-J",1994,Multiple dynamical modes of thalamic relay neurons: Rhythmic bursting and intermittent phase-locking,Neuroscience,59,21-31,
"Wang, X-J",1998,Calcium coding and adaptive temporal computation in cortical pyramidal neurons,Journal of Neurophysiology,79,1549-1566,
"Wang, X-J; Rinzel, J",1992,Alternating and synchronous rhythms in reciprocally inhibitory model neurons,Neural Computation,4,84-97,
"Watkins, CJCH",1989,Learning from Delayed Rewards,,,,"Ph.D. dissertation, University of Cambridge"
"Watson, AB; Ahumada, AJ",1985,Model of human visual-motion sensing,Journal of the Optical Society of America,A2,322-342,
"Weliky, M",2000,Correlated neuronal activity and visual cortical development,Neuron,27,427-430,
"Werblin, FS; Dowling, JE",1969,"Organization of the retina of the mudpuppy, Necturus maculosus. II. Intracellular recording",Journal of Neurophysiology,32,339-355,
"Wickens, J",1993,A Theory of the Striatum,,,,New York: Pergamon Press
"Widrow, B; Hoff, ME",1960,Adaptive switching circuits,WESCON Convention Report,4,96-104,
"Widrow, B; Stearns, SD",1985,Adaptive Signal Processing,,,,"Englewood Cliffs, NJ: Prentice-Hall"
"Wiener, N",1958,Nonlinear Problems in Random Theory,,,,New York: Wiley
"Williams, RJ",1992,Simple statistical gradient-following algorithms for connectionist reinforcement learning,Machine Learning,8,229-256,
"Wilson, HR; Cowan, JD",1972,Excitatory and inhibitory interactions in localized populations of model neurons,Biophysical Journal,12,1-24,
"Wilson, HR; Cowan, JD",1973,A mathematical theory of the functional dynamics of cortical and thalamic nervous tissue,Kybernetik,13,55-80,
"Witkin, A",1983,Scale space filtering,,,1019-1022,In Proceedings of IJCAI vol. 2
"Worgotter, F; Koch, C",1991,A detailed model of the primary visual pathway in the cat,Journal of Neuroscience,11,1959-1979,
"Yuste, R; Sur, M",1999,Development and plasticity of the cerebral cortex: From molecules to maps,Journal of Neurobiology,41,1-6,
"Zador, A; Agmon-Snir, H; Segev, I",1995,The morphoelectrotonic transform: A graphical approach to dendritic function,Journal of Neuroscience,15,1669-1682,
"Zemel, RS",1994,A Minimum Description Length Framework for Unsupervised Learning,,,,"Ph.D. dissertation, University of Toronto"
"Zhang, K",1996,Representation of spatial orientation by the intrinsic dynamics of the head-direction cell ensemble: A theory,Journal of Neuroscience,16,2112-2126,
"Zhang, K; Sejnowski, T",1999,Neural tuning: To sharpen or broaden?,Neural Computation,11,75-84,
"Zhang, LI; Tao, HW; Holt, CE; Harris, WA; Poo, M-m",1998,A critical window for cooperation and competition among developing retinotectal synapses,Nature,395,37-44,
"Zigmond, MJ; Bloom, FE; Landis, SC; Squire, LR",1998,Fundamental Neuroscience,,,,San Diego: Academic Press
"Zipser, D; Andersen, RA",1988,A back-propagation programmed network that simulates response properties of a subset of posterior parietal neurons,Nature,331,679-684,
"Zohary, E",1992,Population coding of visual stimuli by cortical neurons tuned to more than one dimension,Biological Cybernetics,66,265-272,
"Zucker, RS",1989,Short-term synaptic plasticity,Annual Review of Neuroscience,12,13-31,
